date,Strain Score,Avg Heart Rate,Heart Rate Variability,Max Heart Rate,Resting Heart Rate,Total Calories Burned,Recovery Score,Deep Sleep,Deep Sleep Percent,Light Sleep,Light Sleep Percent,Nap Count,Nap Sleep,REM Sleep,REM Sleep Percent,Sleep End Time,Sleep Score,Sleep Start Time,Time Awake,Time in Bed,Total Sleep,Sleep Consistency,Sleep Cycles,Sleep Disturbances,Sleep Disturbances / Hour,Sleep Disturbances Duration,Sleep Onset Latency,Sleep Respiratory Rate,Time Asleep Percent,Time Awake Percent
2021-01-13,5.078684127361091,86.0,52.83886,151.0,63.0,540.7545042311484,47.0,2.3360386111111118,22.857958655709183,5.272063888888889,51.58674083094928,1.0,10.050265,2.611701666666667,25.55530051334154,13.416666666666666,100.0,2.4333333333333336,0.77645,10.983681666666666,10.219804166666666,60.0,10.0,7.0,0.637309074719785,17.912266666666667,1.474,17.314453,92.93895913797918,7.061040862020818
2021-01-14,4.066178959922004,73.0,52.83886,120.0,63.0,1839.9394456560703,47.0,2.3360386111111118,22.857958655709183,5.272063888888889,51.58674083094928,1.0,10.050265,2.611701666666667,25.55530051334154,13.416666666666666,100.0,2.4333333333333336,0.77645,10.983681666666666,10.219804166666666,60.0,10.0,7.0,0.637309074719785,17.912266666666667,1.474,17.314453,92.93895913797918,7.061040862020818
2021-01-15,5.452735963251852,69.0,72.302245,136.0,55.0,2153.104647167782,61.0,1.934976388888889,17.986388171184686,5.10441138888889,47.44756843192853,1.0,10.050265,3.718616388888889,34.56604339688678,12.716666666666669,100.0,1.1666666666666667,0.8093380555555556,11.554055833333337,10.758004166666668,60.0,10.0,13.0,1.125146025562308,26.80435,0.0,17.050781,93.0032496661098,6.996750333890202
2021-01-16,4.313026837375251,63.0,91.27403,123.0,57.0,1802.620123722813,74.0,2.394589166666667,20.253728639980647,5.599858888888888,47.36429277161563,1.0,10.050265,3.8285066666666663,32.38197858840372,14.166666666666666,100.0,1.8333333333333333,0.4673683333333333,12.277435277777778,11.822954722222224,60.0,9.0,10.0,0.8145023593078965,21.853616666666667,0.0,16.230469,96.19726567625032,3.8027343237496942
2021-01-17,4.0433942747478095,64.0,68.15085,111.0,56.0,2004.9691719945029,58.0,2.5114322222222225,21.486417602959005,6.40384638888889,54.78774882290757,1.0,10.050265,2.773185555555556,23.725833574133432,11.95,100.0,-0.6166666666666671,0.8833983333333334,12.558349722222223,11.688464166666666,60.0,11.0,9.0,0.7166546719171502,20.812183333333333,0.0,16.992188,92.97321034704817,7.026789652951846
2021-01-18,9.444981834035737,70.0,63.75351,172.0,54.0,3108.278701227892,46.0,0.8336697222222221,18.32505619248101,3.032011944444444,66.64724383909864,1.0,10.050265,0.6836616666666665,15.027699968420352,13.033333333333331,57.0,8.083333333333334,0.1668413888888889,4.7111833333333335,4.549343333333334,27.0,3.0,4.0,0.8490435877751874,9.933466666666668,0.0,16.699219,96.46236526523764,3.5376347347623565
2021-01-19,7.3331760643468336,72.0,75.872475,176.0,58.5,2297.128476786568,58.5,1.3176147222222223,18.5294660360585,4.606432777777778,65.46003764656362,1.0,9.752359222222221,1.1589183333333333,16.010496317377882,12.799999999999999,78.5,4.616666666666667,0.9887472222222222,8.062524027777778,7.0829658333333345,40.5,4.0,6.5,0.8187791387498231,14.155183333333333,0.0,16.9775395,90.308653502727,9.691346497273006
2021-01-20,5.788907383253079,70.0,87.99144,147.5,63.0,2660.3724988423164,71.0,1.8015597222222224,18.733875879635992,6.180853611111112,64.2728314540286,1.0,9.454453444444445,1.634175,16.99329266633541,12.566666666666666,100.0,1.15,1.8106530555555556,11.413864722222224,9.616588333333334,54.0,5.0,9.0,0.7885146897244587,18.3769,0.0,17.25586,84.15494174021634,15.845058259783656
2021-01-21,4.244638702159324,68.0,74.14796,119.0,53.0,3023.616520898064,62.0,1.409596111111111,15.93864163863518,6.232721944444444,70.47488335325501,1.0,9.156547666666667,1.2015730555555555,13.586475008109804,13.15,100.0,3.8,0.5007883333333333,9.334514444444444,8.84389111111111,51.0,4.0,5.0,0.5356465009249425,9.933433333333332,0.0,16.933594,94.6409254987226,5.359074501277405
2021-01-22,10.598454834078057,67.0,82.39597,167.0,50.0,2101.723782191085,86.0,2.227740277777777,20.303578031685355,5.927385277777778,54.02206474054199,1.0,8.85864188888889,2.8170305555555557,25.674357227772663,12.15,100.0,0.7,0.483945,11.44404027777778,10.972156111111111,64.0,10.0,11.0,0.961198993799417,24.321,0.0,16.757812,95.77565704678857,4.224342953211443
2021-01-23,4.813205614958354,68.0,22.13546,132.0,81.0,2252.381888220005,4.0,1.1138701388888885,10.151789015842677,3.4195570833333333,77.011032370271,1.0,8.560736111111112,1.4085152777777779,12.837178613886332,6.666666666666667,68.0,0.12500000000000033,0.5756543055555556,6.51055513888889,5.941942500000001,57.5,5.0,6.0,0.7976431284442816,12.905516666666667,0.0,16.2304685,76.7565898179001,23.243410182099893
2021-01-24,4.044769244351821,67.0,34.593105,130.0,70.0,1790.8299520868188,13.0,0.0,0.0,0.911728888888889,100.0,1.0,5.75437361111111,0.0,0.0,1.1833333333333331,36.0,-0.4499999999999993,0.6673636111111112,1.57707,0.911728888888889,51.0,0.0,1.0,0.6340872630891463,1.490033333333333,0.0,15.703125,57.73752258901166,42.26247741098834
2021-01-25,4.642192451317606,61.0,110.38323,134.0,48.0,1706.9452406115558,98.0,1.1435533333333334,17.915642695555725,3.754443888888889,58.81953492958736,1.0,5.211533412698412,1.4849908333333333,23.26482237485692,8.966666666666667,100.0,2.033333333333333,0.5104122222222222,6.884794444444443,6.382988055555556,54.0,3.0,10.0,1.4524761894771328,21.340916666666665,1.5701333333333334,17.34375,92.59563928316138,7.404360716838622
2021-01-26,0.966343333132913,66.0,86.42548,125.0,50.0,1883.0050583323373,77.0,0.9093358333333332,14.991002263618633,3.340018333333333,55.06240990414549,1.0,4.668693214285714,1.8165233333333333,29.94658783223587,9.933333333333334,76.0,3.6,0.2836827777777778,6.342192222222223,6.0658775,44.0,2.0,8.0,1.2613934929264732,16.886866666666666,0.0,17.080078,95.53224529940108,4.467754700598908
2021-01-28,5.194196868208411,77.0,88.333225,146.0,49.5,1570.088432122371,77.0,0.8719015277777777,15.332082505546445,3.5353302777777778,62.566111743125134,1.0,4.125853015873015,1.2877963888888888,22.101805751328413,10.5,67.0,4.525,0.2878268055555555,5.9756961111111115,5.695028194444445,46.42857142857143,1.5,8.0,1.343810916041786,17.135216666666665,0.0,17.021484,95.16673652420205,4.833263475797948
2021-01-29,4.039504244767747,64.0,90.24097,123.0,49.0,1474.3863574405473,77.0,0.8344672222222222,15.67316274747426,3.7306422222222224,70.06981358210479,1.0,3.583012817460317,0.7590694444444445,14.257023670420956,11.066666666666666,58.0,5.45,0.2919708333333333,5.6092,5.3241788888888895,48.857142857142854,1.0,8.0,1.426228339157099,17.383566666666663,0.0,16.96289,94.80122774900302,5.1987722509969885
2021-02-16,8.645127005575388,78.0,76.02493,157.0,54.0,1899.0999006632408,55.5,1.1514398611111112,21.801926360187036,3.3464293055555556,63.20708170467455,1.0,3.0401726190476186,0.7928923611111112,14.990991935138414,10.391666666666667,59.0,4.65,0.41696791666666666,5.700790833333334,5.290761527777778,51.285714285714285,2.0,8.0,1.4036763994500272,16.62253333333333,0.0,17.329101,92.72794524773548,7.272054752264526
2021-02-17,3.656902929155661,69.0,61.80889,123.0,59.0,2137.558070924952,34.0,1.4684125,27.930689972899813,2.962216388888889,56.34434982724431,1.0,2.49733242063492,0.8267152777777779,15.724960199855872,9.716666666666669,60.0,3.85,0.541965,5.792381666666667,5.257344166666666,53.714285714285715,3.0,8.0,1.3811244597429555,15.8615,0.0,17.695312,90.65466274646792,9.345337253532064
